ano,mes,ONI,data
1950,1,-1.99,1950-01-01
1950,2,-1.69,1950-02-01
1950,3,-1.42,1950-03-01
1950,4,-1.54,1950-04-01
1950,5,-1.75,1950-05-01
1950,6,-1.27,1950-06-01
1950,7,-1.01,1950-07-01
1950,8,-0.97,1950-08-01
1950,9,-0.98,1950-09-01
1950,10,-1.03,1950-10-01
1950,11,-1.23,1950-11-01
1950,12,-1.31,1950-12-01
1951,1,-1.3,1951-01-01
1951,2,-1.04,1951-02-01
1951,3,-0.38,1951-03-01
1951,4,-0.23,1951-04-01
1951,5,-0.01,1951-05-01
1951,6,0.0,1951-06-01
1951,7,0.3,1951-07-01
1951,8,0.17,1951-08-01
1951,9,0.51,1951-09-01
1951,10,0.49,1951-10-01
1951,11,0.55,1951-11-01
1951,12,0.31,1951-12-01
1952,1,0.13,1952-01-01
1952,2,-0.01,1952-02-01
1952,3,-0.11,1952-03-01
1952,4,-0.02,1952-04-01
1952,5,-0.14,1952-05-01
1952,6,-0.54,1952-06-01
1952,7,-0.76,1952-07-01
1952,8,-0.56,1952-08-01
1952,9,-0.36,1952-09-01
1952,10,-0.46,1952-10-01
1952,11,-0.78,1952-11-01
1952,12,-0.39,1952-12-01
1953,1,0.2,1953-01-01
1953,2,0.24,1953-02-01
1953,3,0.29,1953-03-01
1953,4,0.22,1953-04-01
1953,5,0.35,1953-05-01
1953,6,0.39,1953-06-01
1953,7,0.14,1953-07-01
1953,8,0.09,1953-08-01
1953,9,0.29,1953-09-01
1953,10,0.16,1953-10-01
1953,11,0.18,1953-11-01
1953,12,0.41,1953-12-01
1954,1,0.43,1954-01-01
1954,2,0.28,1954-02-01
1954,3,-0.38,1954-03-01
1954,4,-1.17,1954-04-01
1954,5,-0.81,1954-05-01
1954,6,-0.93,1954-06-01
1954,7,-1.18,1954-07-01
1954,8,-1.43,1954-08-01
1954,9,-1.6,1954-09-01
1954,10,-1.48,1954-10-01
1954,11,-1.13,1954-11-01
1954,12,-1.33,1954-12-01
1955,1,-0.93,1955-01-01
1955,2,-0.95,1955-02-01
1955,3,-1.06,1955-03-01
1955,4,-1.22,1955-04-01
1955,5,-1.28,1955-05-01
1955,6,-1.18,1955-06-01
1955,7,-1.15,1955-07-01
1955,8,-1.35,1955-08-01
1955,9,-1.43,1955-09-01
1955,10,-2.31,1955-10-01
1955,11,-2.45,1955-11-01
1955,12,-2.03,1955-12-01
1956,1,-1.2,1956-01-01
1956,2,-0.99,1956-02-01
1956,3,-0.83,1956-03-01
1956,4,-0.97,1956-04-01
1956,5,-0.8,1956-05-01
1956,6,-0.92,1956-06-01
1956,7,-1.06,1956-07-01
1956,8,-1.17,1956-08-01
1956,9,-0.98,1956-09-01
1956,10,-0.97,1956-10-01
1956,11,-1.14,1956-11-01
1956,12,-0.89,1956-12-01
1957,1,-0.51,1957-01-01
1957,2,-0.22,1957-02-01
1957,3,0.18,1957-03-01
1957,4,0.41,1957-04-01
1957,5,0.62,1957-05-01
1957,6,0.63,1957-06-01
1957,7,0.87,1957-07-01
1957,8,0.84,1957-08-01
1957,9,0.72,1957-09-01
1957,10,0.7,1957-10-01
1957,11,0.92,1957-11-01
1957,12,1.3,1957-12-01
1958,1,1.78,1958-01-01
1958,2,1.49,1958-02-01
1958,3,0.98,1958-03-01
1958,4,0.46,1958-04-01
1958,5,0.38,1958-05-01
1958,6,0.26,1958-06-01
1958,7,0.03,1958-07-01
1958,8,-0.01,1958-08-01
1958,9,-0.32,1958-09-01
1958,10,-0.27,1958-10-01
1958,11,0.05,1958-11-01
1958,12,0.02,1958-12-01
1959,1,0.53,1959-01-01
1959,2,0.43,1959-02-01
1959,3,0.19,1959-03-01
1959,4,0.06,1959-04-01
1959,5,-0.23,1959-05-01
1959,6,-0.35,1959-06-01
1959,7,-0.86,1959-07-01
1959,8,-0.77,1959-08-01
1959,9,-0.8,1959-09-01
1959,10,-0.48,1959-10-01
1959,11,-0.66,1959-11-01
1959,12,-0.42,1959-12-01
1960,1,-0.28,1960-01-01
1960,2,-0.46,1960-02-01
1960,3,-0.3,1960-03-01
1960,4,-0.33,1960-04-01
1960,5,-0.25,1960-05-01
1960,6,-0.49,1960-06-01
1960,7,-0.41,1960-07-01
1960,8,-0.15,1960-08-01
1960,9,-0.28,1960-09-01
1960,10,-0.49,1960-10-01
1960,11,-0.45,1960-11-01
1960,12,-0.38,1960-12-01
1961,1,-0.31,1961-01-01
1961,2,-0.19,1961-02-01
1961,3,-0.35,1961-03-01
1961,4,-0.46,1961-04-01
1961,5,-0.18,1961-05-01
1961,6,-0.06,1961-06-01
1961,7,-0.41,1961-07-01
1961,8,-0.67,1961-08-01
1961,9,-0.94,1961-09-01
1961,10,-1.01,1961-10-01
1961,11,-0.63,1961-11-01
1961,12,-0.63,1961-12-01
1962,1,-0.59,1962-01-01
1962,2,-0.57,1962-02-01
1962,3,-0.48,1962-03-01
1962,4,-0.69,1962-04-01
1962,5,-0.89,1962-05-01
1962,6,-0.65,1962-06-01
1962,7,-0.53,1962-07-01
1962,8,-0.53,1962-08-01
1962,9,-0.78,1962-09-01
1962,10,-0.75,1962-10-01
1962,11,-0.95,1962-11-01
1962,12,-0.93,1962-12-01
1963,1,-0.78,1963-01-01
1963,2,-0.53,1963-02-01
1963,3,-0.1,1963-03-01
1963,4,-0.03,1963-04-01
1963,5,-0.3,1963-05-01
1963,6,-0.11,1963-06-01
1963,7,0.49,1963-07-01
1963,8,0.62,1963-08-01
1963,9,0.68,1963-09-01
1963,10,0.64,1963-10-01
1963,11,0.77,1963-11-01
1963,12,1.02,1963-12-01
1964,1,0.79,1964-01-01
1964,2,0.38,1964-02-01
1964,3,-0.26,1964-03-01
1964,4,-0.87,1964-04-01
1964,5,-1.12,1964-05-01
1964,6,-1.14,1964-06-01
1964,7,-0.96,1964-07-01
1964,8,-1.26,1964-08-01
1964,9,-1.4,1964-09-01
1964,10,-1.35,1964-10-01
1964,11,-1.44,1964-11-01
1964,12,-1.37,1964-12-01
1965,1,-0.89,1965-01-01
1965,2,-0.56,1965-02-01
1965,3,-0.34,1965-03-01
1965,4,-0.44,1965-04-01
1965,5,0.06,1965-05-01
1965,6,0.36,1965-06-01
1965,7,0.61,1965-07-01
1965,8,1.12,1965-08-01
1965,9,1.29,1965-09-01
1965,10,1.45,1965-10-01
1965,11,1.42,1965-11-01
1965,12,1.36,1965-12-01
1966,1,1.12,1966-01-01
1966,2,0.8,1966-02-01
1966,3,0.93,1966-03-01
1966,4,0.35,1966-04-01
1966,5,-0.38,1966-05-01
1966,6,-0.08,1966-06-01
1966,7,0.04,1966-07-01
1966,8,-0.37,1966-08-01
1966,9,-0.44,1966-09-01
1966,10,-0.5,1966-10-01
1966,11,-0.47,1966-11-01
1966,12,-0.57,1966-12-01
1967,1,-0.67,1967-01-01
1967,2,-0.64,1967-02-01
1967,3,-0.78,1967-03-01
1967,4,-1.08,1967-04-01
1967,5,-0.59,1967-05-01
1967,6,-0.26,1967-06-01
1967,7,-0.33,1967-07-01
1967,8,-0.42,1967-08-01
1967,9,-0.86,1967-09-01
1967,10,-0.74,1967-10-01
1967,11,-0.62,1967-11-01
1967,12,-0.65,1967-12-01
1968,1,-0.85,1968-01-01
1968,2,-1.07,1968-02-01
1968,3,-0.95,1968-03-01
1968,4,-0.72,1968-04-01
1968,5,-0.75,1968-05-01
1968,6,0.15,1968-06-01
1968,7,0.28,1968-07-01
1968,8,0.16,1968-08-01
1968,9,0.01,1968-09-01
1968,10,0.04,1968-10-01
1968,11,0.5,1968-11-01
1968,12,0.67,1968-12-01
1969,1,0.95,1969-01-01
1969,2,1.11,1969-02-01
1969,3,0.54,1969-03-01
1969,4,0.31,1969-04-01
1969,5,0.35,1969-05-01
1969,6,-0.04,1969-06-01
1969,7,-0.21,1969-07-01
1969,8,0.16,1969-08-01
1969,9,0.43,1969-09-01
1969,10,0.62,1969-10-01
1969,11,0.4,1969-11-01
1969,12,0.38,1969-12-01
1970,1,0.28,1970-01-01
1970,2,0.2,1970-02-01
1970,3,-0.14,1970-03-01
1970,4,-0.08,1970-04-01
1970,5,-0.3,1970-05-01
1970,6,-0.69,1970-06-01
1970,7,-1.08,1970-07-01
1970,8,-1.26,1970-08-01
1970,9,-1.07,1970-09-01
1970,10,-1.12,1970-10-01
1970,11,-1.13,1970-11-01
1970,12,-1.33,1970-12-01
1971,1,-1.73,1971-01-01
1971,2,-1.57,1971-02-01
1971,3,-1.36,1971-03-01
1971,4,-1.18,1971-04-01
1971,5,-0.98,1971-05-01
1971,6,-1.13,1971-06-01
1971,7,-1.17,1971-07-01
1971,8,-1.1,1971-08-01
1971,9,-1.0,1971-09-01
1971,10,-1.24,1971-10-01
1971,11,-1.15,1971-11-01
1971,12,-1.23,1971-12-01
1972,1,-0.92,1972-01-01
1972,2,-0.45,1972-02-01
1972,3,-0.19,1972-03-01
1972,4,0.07,1972-04-01
1972,5,0.38,1972-05-01
1972,6,0.45,1972-06-01
1972,7,0.85,1972-07-01
1972,8,1.09,1972-08-01
1972,9,1.23,1972-09-01
1972,10,1.54,1972-10-01
1972,11,1.9,1972-11-01
1972,12,2.09,1972-12-01
1973,1,1.8,1973-01-01
1973,2,1.2,1973-02-01
1973,3,0.27,1973-03-01
1973,4,-0.58,1973-04-01
1973,5,-0.97,1973-05-01
1973,6,-1.18,1973-06-01
1973,7,-1.54,1973-07-01
1973,8,-1.63,1973-08-01
1973,9,-1.66,1973-09-01
1973,10,-1.98,1973-10-01
1973,11,-2.37,1973-11-01
1973,12,-2.26,1973-12-01
1974,1,-2.09,1974-01-01
1974,2,-1.66,1974-02-01
1974,3,-1.45,1974-03-01
1974,4,-1.36,1974-04-01
1974,5,-1.29,1974-05-01
1974,6,-1.2,1974-06-01
1974,7,-0.9,1974-07-01
1974,8,-0.52,1974-08-01
1974,9,-0.64,1974-09-01
1974,10,-0.94,1974-10-01
1974,11,-1.09,1974-11-01
1974,12,-0.97,1974-12-01
1975,1,-0.45,1975-01-01
1975,2,-0.68,1975-02-01
1975,3,-1.09,1975-03-01
1975,4,-0.96,1975-04-01
1975,5,-1.13,1975-05-01
1975,6,-1.5,1975-06-01
1975,7,-1.39,1975-07-01
1975,8,-1.52,1975-08-01
1975,9,-1.66,1975-09-01
1975,10,-1.83,1975-10-01
1975,11,-1.66,1975-11-01
1975,12,-1.93,1975-12-01
1976,1,-2.01,1976-01-01
1976,2,-1.26,1976-02-01
1976,3,-0.82,1976-03-01
1976,4,-0.93,1976-04-01
1976,5,-0.74,1976-05-01
1976,6,-0.38,1976-06-01
1976,7,-0.16,1976-07-01
1976,8,0.12,1976-08-01
1976,9,0.3,1976-09-01
1976,10,0.75,1976-10-01
1976,11,0.71,1976-11-01
1976,12,0.49,1976-12-01
1977,1,0.78,1977-01-01
1977,2,0.37,1977-02-01
1977,3,0.19,1977-03-01
1977,4,-0.38,1977-04-01
1977,5,-0.21,1977-05-01
1977,6,0.01,1977-06-01
1977,7,0.09,1977-07-01
1977,8,-0.01,1977-08-01
1977,9,0.4,1977-09-01
1977,10,0.63,1977-10-01
1977,11,0.48,1977-11-01
1977,12,0.7,1977-12-01
1978,1,0.62,1978-01-01
1978,2,0.25,1978-02-01
1978,3,-0.2,1978-03-01
1978,4,-0.7,1978-04-01
1978,5,-0.74,1978-05-01
1978,6,-0.71,1978-06-01
1978,7,-0.55,1978-07-01
1978,8,-0.79,1978-08-01
1978,9,-0.71,1978-09-01
1978,10,-0.46,1978-10-01
1978,11,-0.38,1978-11-01
1978,12,-0.06,1978-12-01
1979,1,-0.13,1979-01-01
1979,2,-0.22,1979-02-01
1979,3,-0.02,1979-03-01
1979,4,0.02,1979-04-01
1979,5,-0.25,1979-05-01
1979,6,-0.29,1979-06-01
1979,7,-0.47,1979-07-01
1979,8,-0.1,1979-08-01
1979,9,0.28,1979-09-01
1979,10,0.11,1979-10-01
1979,11,0.29,1979-11-01
1979,12,0.52,1979-12-01
1980,1,0.54,1980-01-01
1980,2,0.22,1980-02-01
1980,3,0.03,1980-03-01
1980,4,-0.07,1980-04-01
1980,5,0.08,1980-05-01
1980,6,0.21,1980-06-01
1980,7,-0.06,1980-07-01
1980,8,-0.38,1980-08-01
1980,9,-0.28,1980-09-01
1980,10,-0.26,1980-10-01
1980,11,-0.1,1980-11-01
1980,12,0.05,1980-12-01
1981,1,-0.36,1981-01-01
1981,2,-0.64,1981-02-01
1981,3,-0.64,1981-03-01
1981,4,-0.53,1981-04-01
1981,5,-0.57,1981-05-01
1981,6,-0.46,1981-06-01
1981,7,-0.64,1981-07-01
1981,8,-0.53,1981-08-01
1981,9,-0.19,1981-09-01
1981,10,-0.3,1981-10-01
1981,11,-0.41,1981-11-01
1981,12,-0.2,1981-12-01
1982,1,0.13,1982-01-01
1982,2,-0.17,1982-02-01
1982,3,0.13,1982-03-01
1982,4,0.21,1982-04-01
1982,5,0.45,1982-05-01
1982,6,0.53,1982-06-01
1982,7,0.37,1982-07-01
1982,8,0.73,1982-08-01
1982,9,1.49,1982-09-01
1982,10,1.99,1982-10-01
1982,11,1.92,1982-11-01
1982,12,2.2,1982-12-01
1983,1,2.35,1983-01-01
1983,2,1.94,1983-02-01
1983,3,1.38,1983-03-01
1983,4,0.95,1983-04-01
1983,5,0.9,1983-05-01
1983,6,0.54,1983-06-01
1983,7,-0.11,1983-07-01
1983,8,-0.27,1983-08-01
1983,9,-0.52,1983-09-01
1983,10,-1.16,1983-10-01
1983,11,-1.29,1983-11-01
1983,12,-1.03,1983-12-01
1984,1,-0.67,1984-01-01
1984,2,-0.19,1984-02-01
1984,3,-0.52,1984-03-01
1984,4,-0.68,1984-04-01
1984,5,-0.73,1984-05-01
1984,6,-0.9,1984-06-01
1984,7,-0.5,1984-07-01
1984,8,-0.24,1984-08-01
1984,9,-0.34,1984-09-01
1984,10,-0.67,1984-10-01
1984,11,-1.19,1984-11-01
1984,12,-1.34,1984-12-01
1985,1,-1.16,1985-01-01
1985,2,-0.72,1985-02-01
1985,3,-0.79,1985-03-01
1985,4,-1.18,1985-04-01
1985,5,-1.03,1985-05-01
1985,6,-0.91,1985-06-01
1985,7,-0.74,1985-07-01
1985,8,-0.56,1985-08-01
1985,9,-0.7,1985-09-01
1985,10,-0.49,1985-10-01
1985,11,-0.37,1985-11-01
1985,12,-0.41,1985-12-01
1986,1,-0.66,1986-01-01
1986,2,-0.71,1986-02-01
1986,3,-0.42,1986-03-01
1986,4,-0.33,1986-04-01
1986,5,-0.53,1986-05-01
1986,6,-0.31,1986-06-01
1986,7,-0.11,1986-07-01
1986,8,0.32,1986-08-01
1986,9,0.53,1986-09-01
1986,10,0.81,1986-10-01
1986,11,1.01,1986-11-01
1986,12,1.12,1986-12-01
1987,1,1.14,1987-01-01
1987,2,1.13,1987-02-01
1987,3,0.98,1987-03-01
1987,4,0.58,1987-04-01
1987,5,0.62,1987-05-01
1987,6,0.92,1987-06-01
1987,7,1.29,1987-07-01
1987,8,1.57,1987-08-01
1987,9,1.65,1987-09-01
1987,10,1.24,1987-10-01
1987,11,1.07,1987-11-01
1987,12,0.94,1987-12-01
